127.0.0.1 - - [12/Mar/2025:21:44:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET null HTTP/1.1" 400 2187
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/image/Booktopia_Logo2.jpg HTTP/1.1" 200 11792
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/image/sub_banner02.jpg HTTP/1.1" 200 105860
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/image/rss_icon.png HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/image/sub_banner01.jpg HTTP/1.1" 200 45136
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/jquery/jquery-1.6.2.min.js HTTP/1.1" 200 91556
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/imgs/body_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/imgs/nanum.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/thumbnails.do?goods_id=345&fileName=main_react.jpg HTTP/1.1" 200 26070
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/thumbnails.do?goods_id=395&fileName=image2.jpg HTTP/1.1" 200 31623
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/thumbnails.do?goods_id=397&fileName=main_react.jpg HTTP/1.1" 200 26070
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/thumbnails.do?goods_id=344&fileName=image1.jpg HTTP/1.1" 200 40868
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/imgs/vline_grey.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/imgs/foo_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/imgs/sticky_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/imgs/notice_h2.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/imgs/foot_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/imgs/nav_back.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/imgs/notice_li.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:22 +0900] "GET /mytest04/resources/imgs/nanum.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Mar/2025:21:45:46 +0900] "GET /mytest04/goods/goodsList.do HTTP/1.1" 500 2155
